"productId","language","packageName","version","referenceUrl"
"16","PYTHON","google-cloud-monitoring-dashboards","stable","https://cloud.google.com/python/docs/reference/monitoring-dashboards/latest"
"16","PYTHON","google-cloud-monitoring","stable","https://cloud.google.com/python/docs/reference/monitoring/latest"
"16","RUBY","google-cloud-monitoring-metrics_scope-v1","stable","https://cloud.google.com/ruby/docs/reference/google-cloud-monitoring-metrics_scope-v1/latest"
"16","RUBY","google-cloud-monitoring-dashboard-v1","stable","https://cloud.google.com/ruby/docs/reference/google-cloud-monitoring-dashboard-v1/latest"
"16","RUBY","google-cloud-monitoring-v3","stable","https://cloud.google.com/ruby/docs/reference/google-cloud-monitoring-v3/latest"
"16","RUBY","google-cloud-monitoring","stable","https://cloud.google.com/ruby/docs/reference/google-cloud-monitoring/latest"
"17","CPP","google-cloud-cpp::logging::v2","stable","https://cloud.google.com/cpp/docs/reference/logging/latest"
"17","JAVA","com.google.cloud:google-cloud-logging-servlet-initializer","preview","https://cloud.google.com/java/docs/reference/google-cloud-logging-servlet-initializer/latest/history"
"17","JAVA","com.google.cloud:google-cloud-logging-logback","preview","https://cloud.google.com/java/docs/reference/google-cloud-logging-logback/latest/history"
"17","JAVA","com.google.cloud:google-cloud-logging","stable","https://cloud.google.com/java/docs/reference/google-cloud-logging/latest/history"
"17","NODEJS","@google-cloud/logging-winston","stable","https://cloud.google.com/nodejs/docs/reference/logging-winston/latest"
"17","NODEJS","@google-cloud/logging-bunyan","stable","https://cloud.google.com/nodejs/docs/reference/logging-bunyan/latest"
"17","NODEJS","@google-cloud/logging","stable","https://cloud.google.com/nodejs/docs/reference/logging/latest"
"17","PYTHON","google-cloud-logging","stable","https://cloud.google.com/python/docs/reference/logging/latest"
"17","RUBY","google-cloud-logging-v2","stable","https://cloud.google.com/ruby/docs/reference/google-cloud-logging-v2/latest"
"17","RUBY","google-cloud-logging","stable","https://cloud.google.com/ruby/docs/reference/google-cloud-logging/latest"
"18","CPP","google-cloud-cpp::bigquerycontrol::v2","stable","https://cloud.google.com/cpp/docs/reference/bigquerycontrol/latest"
"18","JAVA","com.google.cloud:google-cloud-bigquery","stable","https://cloud.google.com/java/docs/reference/google-cloud-bigquery/latest/history"
"18","NODEJS","@google-cloud/bigquery","stable","https://cloud.google.com/nodejs/docs/reference/bigquery/latest"
"18","PYTHON","sqlalchemy-bigquery","preview","https://googleapis.dev/python/sqlalchemy-bigquery/latest/index.html"
"18","PYTHON","pandas-gbq","preview","https://googleapis.dev/python/pandas-gbq/latest/"
"18","PYTHON","bigframes","preview","https://cloud.google.com/python/docs/reference/bigframes/latest"
"18","PYTHON","google-cloud-bigquery","stable","https://cloud.google.com/python/docs/reference/bigquery/latest"
"18","PYTHON","bigquery-magics","stable","https://googleapis.dev/python/bigquery-magics/latest/"
"18","PYTHON","db-dtypes","stable","https://googleapis.dev/python/db-dtypes/latest/index.html"
"18","RUBY","google-cloud-bigquery","stable","https://cloud.google.com/ruby/docs/reference/google-cloud-bigquery/latest"
